item,cluster_clima,data_semana_comercial,venda
bermuda_short,W,2022-09-18,13670
bermuda_short,URU,2022-09-04,1570
bermuda_short,RIO,2022-08-28,50653
bermuda_short,NOR,2022-10-09,54280
bermuda_short,SPO,2022-09-25,21737
bermuda_short,NOR,2022-09-11,41260
bermuda_short,ARG,2022-10-09,805
bermuda_short,SUL,2022-08-21,2990
bermuda_short,NOR,2022-10-02,45235
bermuda_short,NOR,2022-08-21,35700
bermuda_short,RIO,2022-09-25,38004
bermuda_short,W,2022-08-21,14140
bermuda_short,ARG,2022-09-11,735
bermuda_short,ARG,2022-09-18,600
bermuda_short,URU,2022-09-18,1480
bermuda_short,SUL,2022-09-25,5737
bermuda_short,SUL,2022-10-02,10503
bermuda_short,URU,2022-10-02,2010
bermuda_short,W,2022-09-25,11195
bermuda_short,ARG,2022-08-28,560
bermuda_short,NOR,2022-09-18,34595
bermuda_short,W,2022-09-04,14765
bermuda_short,RIO,2022-09-04,62343
bermuda_short,SPO,2022-08-28,25832
bermuda_short,SUL,2022-09-18,4599
bermuda_short,ARG,2022-08-21,390
bermuda_short,SPO,2022-09-18,22992
bermuda_short,NOR,2022-09-04,47900
bermuda_short,W,2022-09-11,15000
bermuda_short,ARG,2022-10-02,965
bermuda_short,URU,2022-08-28,960
bermuda_short,URU,2022-10-09,2480
bermuda_short,SPO,2022-09-04,32552
bermuda_short,W,2022-10-02,12690
bermuda_short,SPO,2022-08-21,20337
bermuda_short,ARG,2022-09-04,595
bermuda_short,RIO,2022-08-21,40404
bermuda_short,SUL,2022-09-04,5534
bermuda_short,SPO,2022-09-11,23363
bermuda_short,RIO,2022-10-02,54959
bermuda_short,URU,2022-08-21,370
bermuda_short,SUL,2022-10-09,12890
bermuda_short,SUL,2022-08-28,3830
bermuda_short,W,2022-08-28,19020
bermuda_short,URU,2022-09-11,1660
bermuda_short,RIO,2022-09-18,39510
bermuda_short,NOR,2022-09-25,35020
bermuda_short,ARG,2022-09-25,660
bermuda_short,SPO,2022-10-02,38246
bermuda_short,NOR,2022-08-28,40505
bermuda_short,W,2022-10-09,21070
bermuda_short,SPO,2022-10-09,51156
bermuda_short,RIO,2022-10-09,77601
bermuda_short,RIO,2022-09-11,45781
bermuda_short,URU,2022-09-25,1610
bermuda_short,SUL,2022-09-11,4523
