item,cluster_clima,data_semana_comercial,venda
calca,NOR,2022-04-03,75190
calca,RIO,2022-04-03,108465
calca,SPO,2022-04-03,116975
calca,ARG,2022-03-27,1330
calca,SPO,2022-04-10,119715
calca,RIO,2022-03-20,86486
calca,SUL,2022-04-17,47707
calca,URU,2022-04-17,8000
calca,ARG,2022-05-01,515
calca,SPO,2022-03-13,93315
calca,NOR,2022-03-13,70940
calca,ARG,2022-04-17,875
calca,SUL,2022-03-27,48183
calca,SPO,2022-05-01,139590
calca,SPO,2022-04-17,116705
calca,ARG,2022-03-13,1225
calca,ARG,2022-03-20,1495
calca,RIO,2022-04-24,92427
calca,URU,2022-03-27,8745
calca,W,2022-05-01,37005
calca,SUL,2022-03-13,48075
calca,SPO,2022-03-27,100595
calca,RIO,2022-03-27,91762
calca,ARG,2022-04-24,880
calca,URU,2022-04-03,11770
calca,ARG,2022-04-03,1305
calca,NOR,2022-03-27,69685
calca,W,2022-03-20,38490
calca,RIO,2022-05-01,135813
calca,RIO,2022-04-10,111358
calca,W,2022-03-13,37155
calca,NOR,2022-05-01,90445
calca,SUL,2022-04-24,47682
calca,SUL,2022-05-01,63293
calca,W,2022-04-03,31830
calca,W,2022-04-10,30385
calca,URU,2022-05-01,10080
calca,SPO,2022-03-20,94140
calca,NOR,2022-04-10,69330
calca,URU,2022-03-13,9535
calca,URU,2022-04-24,8865
calca,NOR,2022-04-24,68840
calca,RIO,2022-03-13,85347
calca,NOR,2022-03-20,64335
calca,SUL,2022-04-03,55299
calca,SUL,2022-03-20,45969
calca,SUL,2022-04-10,53133
calca,SPO,2022-04-24,103790
calca,NOR,2022-04-17,68725
calca,W,2022-04-24,29225
calca,W,2022-03-27,29070
calca,W,2022-04-17,22680
calca,ARG,2022-04-10,1210
calca,RIO,2022-04-17,106610
calca,URU,2022-04-10,11365
calca,URU,2022-03-20,8275
