item,cluster_clima,data_semana_comercial,venda
camiseta_manga_curta,SUL,2022-08-28,28531
camiseta_manga_curta,URU,2022-09-04,17735
camiseta_manga_curta,SPO,2022-08-07,118063
camiseta_manga_curta,ARG,2022-08-28,1270
camiseta_manga_curta,W,2022-07-31,26905
camiseta_manga_curta,SUL,2022-07-17,28812
camiseta_manga_curta,RIO,2022-08-14,71270
camiseta_manga_curta,W,2022-07-24,19170
camiseta_manga_curta,RIO,2022-08-28,81390
camiseta_manga_curta,SPO,2022-08-14,67494
camiseta_manga_curta,RIO,2022-07-17,83440
camiseta_manga_curta,SPO,2022-07-24,78815
camiseta_manga_curta,RIO,2022-07-31,87300
camiseta_manga_curta,ARG,2022-09-04,1470
camiseta_manga_curta,SUL,2022-08-21,29386
camiseta_manga_curta,URU,2022-07-24,9925
camiseta_manga_curta,URU,2022-07-31,13090
camiseta_manga_curta,NOR,2022-08-07,89685
camiseta_manga_curta,URU,2022-08-28,13965
camiseta_manga_curta,NOR,2022-07-31,67105
camiseta_manga_curta,W,2022-09-04,22000
camiseta_manga_curta,W,2022-08-14,23100
camiseta_manga_curta,URU,2022-08-21,12755
camiseta_manga_curta,SUL,2022-07-24,33264
camiseta_manga_curta,SUL,2022-07-31,32214
camiseta_manga_curta,W,2022-08-21,16765
camiseta_manga_curta,ARG,2022-07-31,1530
camiseta_manga_curta,RIO,2022-07-24,76640
camiseta_manga_curta,NOR,2022-09-04,68670
camiseta_manga_curta,NOR,2022-08-28,57140
camiseta_manga_curta,NOR,2022-07-17,61380
camiseta_manga_curta,URU,2022-08-07,18685
camiseta_manga_curta,ARG,2022-07-24,2260
camiseta_manga_curta,SPO,2022-07-17,82851
camiseta_manga_curta,SUL,2022-08-14,25845
camiseta_manga_curta,URU,2022-08-14,13715
camiseta_manga_curta,URU,2022-07-17,8770
camiseta_manga_curta,SUL,2022-08-07,46495
camiseta_manga_curta,SPO,2022-08-21,63234
camiseta_manga_curta,RIO,2022-09-04,99927
camiseta_manga_curta,W,2022-08-28,19250
camiseta_manga_curta,RIO,2022-08-07,121500
camiseta_manga_curta,NOR,2022-08-14,56245
camiseta_manga_curta,ARG,2022-08-21,1420
camiseta_manga_curta,NOR,2022-08-21,49550
camiseta_manga_curta,NOR,2022-07-24,59210
camiseta_manga_curta,W,2022-07-17,18715
camiseta_manga_curta,SPO,2022-07-31,83751
camiseta_manga_curta,RIO,2022-08-21,65522
camiseta_manga_curta,ARG,2022-08-07,1525
camiseta_manga_curta,SPO,2022-09-04,90929
camiseta_manga_curta,ARG,2022-08-14,1650
camiseta_manga_curta,SUL,2022-09-04,38935
camiseta_manga_curta,SPO,2022-08-28,71714
camiseta_manga_curta,ARG,2022-07-17,3255
camiseta_manga_curta,W,2022-08-07,31465
