item,cluster_clima,data_semana_comercial,venda
circular_manga_curta,ARG,2022-08-21,690
circular_manga_curta,SUL,2022-09-11,22110
circular_manga_curta,SUL,2022-10-09,36976
circular_manga_curta,URU,2022-08-21,5075
circular_manga_curta,SPO,2022-10-09,79964
circular_manga_curta,SPO,2022-09-04,57893
circular_manga_curta,SUL,2022-09-04,23359
circular_manga_curta,NOR,2022-09-25,32205
circular_manga_curta,URU,2022-10-02,8085
circular_manga_curta,URU,2022-08-28,6460
circular_manga_curta,SPO,2022-09-11,46930
circular_manga_curta,RIO,2022-08-21,47152
circular_manga_curta,W,2022-09-25,14520
circular_manga_curta,SPO,2022-10-02,58533
circular_manga_curta,SPO,2022-08-28,47931
circular_manga_curta,NOR,2022-09-11,34475
circular_manga_curta,SUL,2022-09-25,22314
circular_manga_curta,W,2022-08-28,19525
circular_manga_curta,RIO,2022-10-09,71724
circular_manga_curta,W,2022-08-21,20120
circular_manga_curta,SPO,2022-08-21,39663
circular_manga_curta,ARG,2022-10-02,1325
circular_manga_curta,RIO,2022-10-02,51896
circular_manga_curta,RIO,2022-08-28,62792
circular_manga_curta,SUL,2022-08-28,16944
circular_manga_curta,NOR,2022-10-02,35665
circular_manga_curta,RIO,2022-09-25,46688
circular_manga_curta,W,2022-10-02,12235
circular_manga_curta,NOR,2022-09-04,40815
circular_manga_curta,NOR,2022-08-28,37690
circular_manga_curta,NOR,2022-08-21,33050
circular_manga_curta,NOR,2022-10-09,46965
circular_manga_curta,SUL,2022-08-21,17826
circular_manga_curta,W,2022-10-09,12600
circular_manga_curta,URU,2022-09-18,6715
circular_manga_curta,URU,2022-09-04,9425
circular_manga_curta,RIO,2022-09-18,46659
circular_manga_curta,URU,2022-10-09,7185
circular_manga_curta,W,2022-09-11,19720
circular_manga_curta,W,2022-09-04,18345
circular_manga_curta,SUL,2022-10-02,29933
circular_manga_curta,URU,2022-09-11,6215
circular_manga_curta,ARG,2022-09-18,930
circular_manga_curta,ARG,2022-09-04,1370
circular_manga_curta,ARG,2022-10-09,975
circular_manga_curta,SPO,2022-09-18,46335
circular_manga_curta,SPO,2022-09-25,44457
circular_manga_curta,RIO,2022-09-11,47893
circular_manga_curta,ARG,2022-09-25,1135
circular_manga_curta,ARG,2022-08-28,1075
circular_manga_curta,SUL,2022-09-18,22445
circular_manga_curta,RIO,2022-09-04,68078
circular_manga_curta,ARG,2022-09-11,1085
circular_manga_curta,NOR,2022-09-18,30515
circular_manga_curta,URU,2022-09-25,6005
circular_manga_curta,W,2022-09-18,17445
