item,cluster_clima,data_semana_comercial,venda
cueca,RIO,2022-09-04,44190
cueca,ARG,2022-09-04,410
cueca,URU,2022-07-31,2155
cueca,ARG,2022-07-17,580
cueca,RIO,2022-08-28,37090
cueca,NOR,2022-07-24,27420
cueca,URU,2022-08-14,1740
cueca,ARG,2022-08-28,445
cueca,W,2022-07-24,4355
cueca,URU,2022-07-24,1745
cueca,SPO,2022-07-31,46560
cueca,NOR,2022-07-17,28265
cueca,NOR,2022-08-14,26465
cueca,SUL,2022-08-21,21691
cueca,URU,2022-09-04,3130
cueca,W,2022-09-04,4100
cueca,W,2022-08-21,2490
cueca,SPO,2022-08-07,74460
cueca,SPO,2022-09-04,48215
cueca,NOR,2022-08-28,25865
cueca,ARG,2022-07-24,505
cueca,SPO,2022-08-14,42270
cueca,NOR,2022-07-31,30200
cueca,URU,2022-08-07,2570
cueca,SPO,2022-07-24,41940
cueca,NOR,2022-08-21,23420
cueca,W,2022-08-14,2815
cueca,RIO,2022-08-21,36240
cueca,SUL,2022-08-14,23589
cueca,RIO,2022-08-07,68360
cueca,RIO,2022-07-24,39385
cueca,URU,2022-08-21,1990
cueca,RIO,2022-07-17,43400
cueca,W,2022-08-07,3695
cueca,URU,2022-07-17,1680
cueca,URU,2022-08-28,2480
cueca,ARG,2022-08-07,435
cueca,ARG,2022-07-31,370
cueca,SUL,2022-07-31,26722
cueca,W,2022-08-28,2735
cueca,W,2022-07-17,2560
cueca,W,2022-07-31,4025
cueca,SPO,2022-08-21,39155
cueca,SPO,2022-07-17,45030
cueca,RIO,2022-07-31,45220
cueca,SUL,2022-08-07,45465
cueca,NOR,2022-09-04,28225
cueca,ARG,2022-08-21,355
cueca,SPO,2022-08-28,42415
cueca,NOR,2022-08-07,47765
cueca,SUL,2022-07-24,23974
cueca,ARG,2022-08-14,505
cueca,SUL,2022-08-28,21569
cueca,RIO,2022-08-14,40555
cueca,SUL,2022-09-04,25405
cueca,SUL,2022-07-17,25025
