item,cluster_clima,data_semana_comercial,venda
bermuda_short,SPO,2022-12-04,127348
bermuda_short,SPO,2022-07-10,21635
bermuda_short,SPO,2021-04-04,10315
bermuda_short,SPO,2020-06-14,19160
bermuda_short,SPO,2017-05-14,9385
bermuda_short,SPO,2020-03-01,31420
bermuda_short,SPO,2018-06-24,9250
bermuda_short,SPO,2022-06-19,9970
bermuda_short,SPO,2018-07-29,8515
bermuda_short,SPO,2021-08-08,18380
bermuda_short,SPO,2017-04-16,14240
bermuda_short,SPO,2019-12-29,102605
bermuda_short,NOR,2022-11-20,59695
bermuda_short,NOR,2021-05-02,73415
bermuda_short,NOR,2017-01-01,51335
bermuda_short,NOR,2021-10-17,57400
bermuda_short,NOR,2019-05-26,42065
bermuda_short,NOR,2021-04-18,46260
bermuda_short,NOR,2017-11-12,56455
bermuda_short,NOR,2020-06-07,14630
bermuda_short,SUL,2017-07-02,3788
bermuda_short,SUL,2017-08-13,3568
bermuda_short,SUL,2020-02-02,22444
bermuda_short,SUL,2018-01-28,15692
bermuda_short,SUL,2020-12-13,98321
bermuda_short,SUL,2018-10-14,18731
bermuda_short,RIO,2022-03-13,78980
bermuda_short,RIO,2021-12-26,213738
bermuda_short,RIO,2017-11-05,50738
bermuda_short,RIO,2017-07-02,23715
bermuda_short,RIO,2021-08-08,55918
bermuda_short,RIO,2019-08-18,37711
bermuda_short,SUL,2022-05-15,86
bermuda_short,SUL,2021-05-02,657
bermuda_short,URU,2022-09-04,1570
bermuda_short,URU,2020-01-26,1890
bermuda_short,SUL,2021-02-28,536
bermuda_short,URU,2019-12-01,4600
bermuda_short,URU,2018-06-24,45
bermuda_short,URU,2019-10-20,1410
bermuda_short,W,2017-05-07,2585
bermuda_short,W,2017-10-22,2945
bermuda_short,W,2018-12-16,2845
bermuda_short,W,2019-12-01,21915
bermuda_short,W,2021-06-06,13885
bermuda_short,W,2021-08-22,17665
bermuda_short,W,2022-09-18,13670
bermuda_short,W,2022-01-09,32120
bermuda_short,W,2020-03-29,2455
bermuda_short,W,2019-12-15,11650
bermuda_short,W,2018-07-08,1855
bermuda_short,W,2020-01-05,6635
bermuda_short,W,2022-01-30,38520
bermuda_short,W,2020-02-09,9330
bermuda_short,W,2022-01-16,19530
bermuda_short,W,2020-08-16,17570
bermuda_short,URU,2018-04-22,140
bermuda_short,ARG,2022-10-23,955
bermuda_short,ARG,2022-12-25,50
bermuda_short,ARG,2021-12-19,3445
bermuda_short,ARG,2020-01-05,2450
bermuda_short,ARG,2021-09-26,360
bermuda_short,ARG,2020-12-13,420
bermuda_short,NOR,2020-04-19,25
bermuda_short,SPO,2018-05-13,8170
bermuda_short,SPO,2017-12-03,104915
bermuda_short,SPO,2020-10-25,66195
bermuda_short,SPO,2017-05-07,11630
bermuda_short,SPO,2022-11-13,72947
bermuda_short,SPO,2020-07-12,12530
bermuda_short,SPO,2019-12-15,223095
bermuda_short,SPO,2019-01-06,48370
bermuda_short,SPO,2022-12-18,240455
bermuda_short,SPO,2022-11-20,67316
bermuda_short,SPO,2017-07-02,14080
bermuda_short,NOR,2019-02-03,48285
bermuda_short,NOR,2022-11-13,49825
bermuda_short,NOR,2019-06-02,55505
bermuda_short,NOR,2018-07-22,33320
bermuda_short,NOR,2022-03-27,46435
bermuda_short,SUL,2021-12-12,92500
bermuda_short,SUL,2017-01-22,18200
bermuda_short,SUL,2018-12-30,29236
bermuda_short,SUL,2021-11-28,54194
bermuda_short,SUL,2019-07-14,381
bermuda_short,SUL,2022-07-17,703
bermuda_short,RIO,2018-12-02,102171
bermuda_short,RIO,2021-03-07,51279
bermuda_short,RIO,2022-08-28,50653
bermuda_short,RIO,2021-10-10,99946
bermuda_short,RIO,2018-06-17,25812
bermuda_short,RIO,2020-03-08,54435
bermuda_short,RIO,2022-04-03,67899
bermuda_short,RIO,2017-09-10,41168
bermuda_short,RIO,2022-10-30,51361
bermuda_short,RIO,2021-11-14,96712
bermuda_short,RIO,2021-06-20,59863
bermuda_short,RIO,2022-03-20,63444
bermuda_short,SUL,2022-04-24,524
bermuda_short,URU,2020-07-26,90
bermuda_short,URU,2022-02-13,975
bermuda_short,URU,2020-07-19,110
bermuda_short,URU,2021-12-05,14000
bermuda_short,SUL,2019-06-16,328
bermuda_short,W,2017-02-05,1830
bermuda_short,W,2020-01-26,5980
bermuda_short,W,2020-09-06,23800
bermuda_short,W,2018-12-23,1925
bermuda_short,W,2019-09-22,6885
bermuda_short,W,2021-03-07,15410
bermuda_short,W,2018-02-25,2490
bermuda_short,W,2017-06-04,1780
bermuda_short,W,2022-12-18,16335
bermuda_short,W,2017-10-29,2545
bermuda_short,URU,2019-04-28,10
bermuda_short,URU,2019-07-21,20
bermuda_short,ARG,2022-12-18,205
bermuda_short,ARG,2022-06-12,30
bermuda_short,SPO,2018-03-25,15815
bermuda_short,SPO,2017-04-23,12940
bermuda_short,SPO,2021-05-09,14210
bermuda_short,SPO,2021-12-19,307545
bermuda_short,SPO,2019-11-10,75705
bermuda_short,SPO,2017-11-19,66380
bermuda_short,SPO,2017-03-12,17305
bermuda_short,SPO,2019-07-07,12530
bermuda_short,NOR,2017-05-21,26595
bermuda_short,NOR,2019-12-08,107995
bermuda_short,NOR,2022-10-09,54280
bermuda_short,NOR,2019-12-15,149685
bermuda_short,NOR,2017-04-30,31885
bermuda_short,NOR,2018-06-10,88110
bermuda_short,NOR,2022-07-17,56100
bermuda_short,NOR,2021-05-30,72700
bermuda_short,NOR,2018-11-18,52205
bermuda_short,NOR,2019-11-24,64665
bermuda_short,SUL,2019-03-31,1122
bermuda_short,SUL,2018-09-02,5890
bermuda_short,SUL,2017-10-01,13675
