item,cluster_clima,data_semana_comercial,venda
calca,SPO,2022-03-06,88025
calca,SPO,2021-07-18,124565
calca,SPO,2017-10-15,55465
calca,SPO,2020-11-22,89535
calca,SPO,2022-05-08,126165
calca,SPO,2021-04-04,25130
calca,SPO,2018-03-18,60705
calca,SPO,2018-10-14,62215
calca,SPO,2021-10-31,110250
calca,SPO,2021-03-14,24385
calca,SPO,2022-05-22,91340
calca,NOR,2018-03-18,34690
calca,NOR,2019-12-08,58670
calca,NOR,2017-12-17,74700
calca,NOR,2018-07-15,39855
calca,NOR,2021-05-09,56015
calca,NOR,2022-04-03,75190
calca,NOR,2022-01-02,44875
calca,NOR,2020-11-29,50675
calca,NOR,2019-10-13,44520
calca,SUL,2020-09-27,39218
calca,SUL,2020-11-08,35349
calca,SUL,2021-06-06,54588
calca,SUL,2021-08-15,46237
calca,SUL,2018-06-17,32355
calca,SUL,2020-03-15,13039
calca,SUL,2020-11-15,41429
calca,SUL,2020-12-20,32816
calca,SUL,2022-10-02,42262
calca,RIO,2017-10-22,47738
calca,RIO,2019-06-02,100077
calca,RIO,2020-12-27,47784
calca,RIO,2021-01-31,45613
calca,RIO,2018-03-11,53737
calca,RIO,2022-12-11,97670
calca,RIO,2018-09-30,59849
calca,RIO,2019-05-12,83830
calca,RIO,2022-04-03,108465
calca,RIO,2020-11-29,62159
calca,RIO,2018-11-11,49128
calca,URU,2022-01-16,4395
calca,URU,2021-04-11,5080
calca,URU,2020-08-02,7975
calca,URU,2022-10-16,6300
calca,URU,2020-10-04,10800
calca,URU,2018-05-06,6480
calca,URU,2018-06-17,3075
calca,URU,2019-02-17,1970
calca,W,2017-05-07,7025
calca,W,2019-09-29,10110
calca,W,2020-02-02,13075
calca,W,2018-05-20,8285
calca,W,2019-04-28,12105
calca,W,2019-09-15,12805
calca,W,2019-04-21,10180
calca,W,2021-09-12,15165
calca,W,2019-04-14,9555
calca,W,2018-03-11,4915
calca,W,2019-07-21,10275
calca,W,2019-02-17,14995
calca,URU,2018-04-29,3480
calca,URU,2017-10-29,1140
calca,ARG,2021-01-10,1855
calca,ARG,2021-08-08,2225
calca,SPO,2020-06-28,42220
calca,SPO,2018-11-04,62625
calca,SPO,2022-04-03,116975
calca,SPO,2018-05-27,74900
calca,SPO,2017-03-26,74930
calca,SPO,2018-04-22,68285
calca,SPO,2017-08-06,90635
calca,SPO,2020-03-15,20770
calca,NOR,2022-01-23,48045
calca,NOR,2017-04-23,33350
calca,NOR,2018-06-24,34225
calca,NOR,2018-09-09,45055
calca,NOR,2021-10-31,64305
calca,NOR,2018-08-26,42935
calca,NOR,2017-04-02,37905
calca,NOR,2021-08-29,67330
calca,NOR,2018-10-14,36630
calca,NOR,2017-10-22,32425
calca,NOR,2019-02-10,54170
calca,NOR,2017-07-23,43960
calca,NOR,2017-03-05,37060
calca,SUL,2018-04-29,43821
calca,SUL,2022-10-23,27424
calca,SUL,2019-01-20,28203
calca,SUL,2021-04-04,38245
calca,SUL,2017-06-04,44759
calca,SUL,2019-07-21,44742
calca,SUL,2017-10-01,43750
calca,SUL,2021-04-25,53097
calca,SUL,2017-03-19,43946
calca,RIO,2017-12-03,71554
calca,RIO,2021-03-21,15601
calca,RIO,2018-04-22,56789
calca,RIO,2020-02-16,62936
calca,RIO,2020-07-19,51610
calca,RIO,2018-06-03,80618
calca,URU,2021-03-21,5340
calca,URU,2020-02-09,6405
calca,URU,2021-10-17,7435
calca,URU,2021-01-24,2710
calca,URU,2018-12-02,2310
calca,URU,2019-11-24,2345
calca,W,2018-06-03,7220
calca,W,2019-02-10,9940
calca,W,2017-06-04,3910
calca,W,2021-08-08,36740
calca,URU,2018-02-11,2300
calca,ARG,2021-01-31,1315
calca,ARG,2019-12-15,2915
calca,ARG,2021-06-20,965
calca,SPO,2022-06-19,90017
calca,SPO,2020-08-09,66325
calca,SPO,2018-12-23,65895
calca,SPO,2022-12-18,156815
calca,SPO,2018-04-29,73590
calca,SPO,2017-12-10,84870
calca,SPO,2021-11-14,98220
calca,SPO,2018-06-24,67890
calca,SPO,2018-09-02,82835
calca,SPO,2019-03-24,82035
calca,SPO,2019-12-29,48895
calca,SPO,2017-09-03,81710
calca,NOR,2021-12-26,61615
calca,NOR,2019-08-04,59655
calca,NOR,2018-12-30,32435
calca,NOR,2020-08-16,41890
calca,NOR,2018-10-07,41745
calca,NOR,2018-02-11,33360
calca,NOR,2020-11-22,59680
calca,NOR,2021-04-04,28720
calca,NOR,2020-01-05,38305
calca,NOR,2017-09-24,40050
calca,SUL,2020-10-18,33734
calca,SUL,2018-11-25,27158
calca,SUL,2017-03-26,43355
calca,SUL,2018-04-15,36950
calca,SUL,2020-06-14,33266
calca,SUL,2020-02-02,34314
calca,SUL,2022-09-11,42633
calca,SUL,2020-09-20,38083
calca,SUL,2017-05-28,39506
calca,SUL,2020-01-05,27780
calca,SUL,2021-01-17,24185
calca,SUL,2017-10-29,36293
calca,SUL,2021-08-01,63437
calca,RIO,2020-10-04,64500
calca,RIO,2017-08-13,65665
calca,RIO,2020-08-09,60124
calca,RIO,2021-09-26,82848
calca,RIO,2017-12-24,60876
calca,RIO,2022-06-05,131744
calca,RIO,2020-11-01,76119
calca,NOR,2021-01-03,28650
calca,URU,2022-07-24,9125
calca,URU,2021-12-12,10445
calca,URU,2021-08-15,9090
calca,URU,2022-10-02,9200
calca,URU,2019-12-29,4240
calca,URU,2021-01-03,5025
calca,URU,2019-03-10,3895
calca,URU,2018-11-18,1530
calca,URU,2019-10-13,3765
calca,URU,2020-05-31,3035
calca,URU,2018-12-23,3395
calca,W,2017-03-05,5875
calca,W,2018-10-21,7735
calca,W,2020-06-07,41945
calca,W,2018-03-04,5685
calca,W,2020-08-23,26660
calca,W,2017-09-24,3920
calca,W,2020-08-09,54315
calca,W,2017-04-02,2405
