item,cluster_clima,data_semana_comercial,venda
camiseta_manga_curta,SPO,2017-10-08,209095
camiseta_manga_curta,SPO,2017-01-01,89460
camiseta_manga_curta,SPO,2018-07-08,134585
camiseta_manga_curta,SPO,2018-07-29,112515
camiseta_manga_curta,SPO,2020-01-05,130845
camiseta_manga_curta,SPO,2021-06-20,73230
camiseta_manga_curta,SPO,2017-01-22,89055
camiseta_manga_curta,SPO,2020-02-02,132400
camiseta_manga_curta,SPO,2018-12-02,287785
camiseta_manga_curta,SPO,2019-03-24,100380
camiseta_manga_curta,SPO,2019-09-01,106845
camiseta_manga_curta,SPO,2019-02-17,100925
camiseta_manga_curta,SPO,2021-11-14,117900
camiseta_manga_curta,SPO,2019-01-27,92565
camiseta_manga_curta,NOR,2022-05-08,61950
camiseta_manga_curta,NOR,2021-07-25,86755
camiseta_manga_curta,NOR,2021-07-18,83445
camiseta_manga_curta,NOR,2021-03-07,51220
camiseta_manga_curta,NOR,2022-03-20,55085
camiseta_manga_curta,NOR,2019-01-13,72260
camiseta_manga_curta,NOR,2021-05-09,69660
camiseta_manga_curta,NOR,2021-08-22,66730
camiseta_manga_curta,SUL,2022-08-28,28531
camiseta_manga_curta,SUL,2017-05-28,20675
camiseta_manga_curta,SUL,2020-08-16,24489
camiseta_manga_curta,SUL,2020-05-10,8365
camiseta_manga_curta,SUL,2018-06-17,21822
camiseta_manga_curta,SUL,2017-07-02,27736
camiseta_manga_curta,SUL,2018-08-12,44062
camiseta_manga_curta,SUL,2022-11-27,47226
camiseta_manga_curta,SUL,2019-11-17,61091
camiseta_manga_curta,RIO,2021-02-21,76345
camiseta_manga_curta,RIO,2020-09-20,96675
camiseta_manga_curta,RIO,2020-08-09,110460
camiseta_manga_curta,RIO,2017-07-09,92865
camiseta_manga_curta,RIO,2017-06-04,129280
camiseta_manga_curta,RIO,2017-07-02,90630
camiseta_manga_curta,RIO,2017-04-09,125570
camiseta_manga_curta,RIO,2022-12-11,185852
camiseta_manga_curta,RIO,2022-06-05,95433
camiseta_manga_curta,RIO,2019-11-10,153360
camiseta_manga_curta,RIO,2021-03-28,30652
camiseta_manga_curta,URU,2021-09-26,13160
camiseta_manga_curta,URU,2021-08-29,14795
camiseta_manga_curta,URU,2022-12-25,20065
camiseta_manga_curta,URU,2022-10-16,12060
camiseta_manga_curta,URU,2021-11-14,19745
camiseta_manga_curta,URU,2020-10-25,9620
camiseta_manga_curta,URU,2021-12-26,24700
camiseta_manga_curta,URU,2018-08-05,6115
camiseta_manga_curta,URU,2018-06-17,2820
camiseta_manga_curta,W,2018-09-30,16015
camiseta_manga_curta,W,2018-02-25,8990
camiseta_manga_curta,W,2020-07-19,41020
camiseta_manga_curta,W,2021-01-24,26180
camiseta_manga_curta,W,2022-02-27,26025
camiseta_manga_curta,URU,2017-12-17,19670
camiseta_manga_curta,ARG,2021-05-23,80
camiseta_manga_curta,ARG,2020-02-09,2915
camiseta_manga_curta,ARG,2020-01-26,2175
camiseta_manga_curta,ARG,2022-01-23,720
camiseta_manga_curta,SPO,2021-03-28,30165
camiseta_manga_curta,SPO,2017-07-02,76195
camiseta_manga_curta,SPO,2018-02-25,100065
camiseta_manga_curta,SPO,2021-11-21,130610
camiseta_manga_curta,SPO,2018-07-22,115835
camiseta_manga_curta,SPO,2022-09-25,62547
camiseta_manga_curta,SPO,2018-03-25,115985
camiseta_manga_curta,SPO,2021-05-30,83950
camiseta_manga_curta,SPO,2021-02-14,98195
camiseta_manga_curta,SPO,2019-03-03,114240
camiseta_manga_curta,SPO,2019-11-24,218565
camiseta_manga_curta,NOR,2022-06-26,60020
camiseta_manga_curta,NOR,2021-02-14,56115
camiseta_manga_curta,NOR,2017-07-09,72130
camiseta_manga_curta,NOR,2020-07-26,77930
camiseta_manga_curta,NOR,2019-03-24,62535
camiseta_manga_curta,SUL,2017-09-03,67757
camiseta_manga_curta,SUL,2019-10-20,53756
camiseta_manga_curta,SUL,2019-03-10,38500
camiseta_manga_curta,SUL,2017-08-13,39701
camiseta_manga_curta,SUL,2019-03-24,37152
camiseta_manga_curta,SUL,2022-07-03,29114
camiseta_manga_curta,SUL,2022-05-22,15903
camiseta_manga_curta,SUL,2017-07-23,43560
camiseta_manga_curta,SUL,2017-04-09,35962
camiseta_manga_curta,SUL,2019-02-24,43947
camiseta_manga_curta,SUL,2019-09-01,43904
camiseta_manga_curta,SUL,2021-07-25,25398
camiseta_manga_curta,RIO,2018-02-25,92442
camiseta_manga_curta,RIO,2020-02-09,117968
camiseta_manga_curta,RIO,2021-06-27,95210
camiseta_manga_curta,RIO,2022-02-27,85087
camiseta_manga_curta,RIO,2020-08-02,172945
camiseta_manga_curta,RIO,2017-03-12,118400
camiseta_manga_curta,RIO,2021-02-07,95030
camiseta_manga_curta,RIO,2017-12-17,599597
camiseta_manga_curta,RIO,2017-01-15,79520
camiseta_manga_curta,RIO,2021-06-13,85495
camiseta_manga_curta,RIO,2022-06-12,82525
camiseta_manga_curta,URU,2022-07-03,16135
camiseta_manga_curta,URU,2020-07-12,7995
camiseta_manga_curta,URU,2022-09-04,17735
camiseta_manga_curta,URU,2020-10-18,8990
camiseta_manga_curta,URU,2022-10-30,14485
camiseta_manga_curta,URU,2019-07-07,13660
camiseta_manga_curta,URU,2019-07-14,7400
camiseta_manga_curta,URU,2018-05-06,7240
camiseta_manga_curta,W,2019-11-03,22825
camiseta_manga_curta,W,2022-10-16,24545
camiseta_manga_curta,W,2019-10-27,16400
camiseta_manga_curta,W,2020-08-02,60420
camiseta_manga_curta,W,2019-02-17,7995
camiseta_manga_curta,W,2018-02-18,5745
camiseta_manga_curta,W,2017-12-24,9750
camiseta_manga_curta,W,2020-05-17,20845
camiseta_manga_curta,W,2022-10-23,24340
camiseta_manga_curta,W,2021-07-25,22510
camiseta_manga_curta,W,2022-05-29,19845
camiseta_manga_curta,W,2019-12-22,15315
camiseta_manga_curta,W,2018-11-18,79340
camiseta_manga_curta,W,2020-03-22,3835
camiseta_manga_curta,W,2017-08-27,7630
camiseta_manga_curta,W,2017-11-12,8895
camiseta_manga_curta,W,2021-09-12,23875
camiseta_manga_curta,ARG,2020-10-25,3385
camiseta_manga_curta,ARG,2020-10-04,3750
camiseta_manga_curta,ARG,2021-07-11,3230
camiseta_manga_curta,ARG,2022-10-23,765
camiseta_manga_curta,ARG,2021-10-10,3715
camiseta_manga_curta,ARG,2022-02-13,1460
camiseta_manga_curta,ARG,2021-04-11,2030
camiseta_manga_curta,NOR,2020-04-26,535
camiseta_manga_curta,SPO,2017-07-16,83155
camiseta_manga_curta,SPO,2022-02-06,83050
camiseta_manga_curta,SPO,2022-08-07,118063
camiseta_manga_curta,SPO,2019-03-10,99180
camiseta_manga_curta,SPO,2020-12-06,281635
camiseta_manga_curta,SPO,2020-10-25,104555
camiseta_manga_curta,NOR,2022-03-06,64410
camiseta_manga_curta,NOR,2019-09-29,74995
camiseta_manga_curta,NOR,2018-10-07,90395
camiseta_manga_curta,NOR,2022-05-22,49530
camiseta_manga_curta,NOR,2018-02-25,64115
camiseta_manga_curta,NOR,2019-02-10,64585
camiseta_manga_curta,NOR,2018-06-24,78515
camiseta_manga_curta,NOR,2017-03-19,61885
camiseta_manga_curta,NOR,2017-09-03,89725
camiseta_manga_curta,NOR,2018-08-19,83865
camiseta_manga_curta,SUL,2017-07-30,54048
camiseta_manga_curta,SUL,2022-09-18,30593
camiseta_manga_curta,SUL,2020-12-06,111392
camiseta_manga_curta,SUL,2022-10-16,33911
camiseta_manga_curta,SUL,2022-06-19,13621
camiseta_manga_curta,SUL,2020-03-08,53310
camiseta_manga_curta,RIO,2020-07-05,79942
camiseta_manga_curta,RIO,2020-01-12,113643
camiseta_manga_curta,RIO,2022-04-17,73812
camiseta_manga_curta,RIO,2017-11-19,178160
camiseta_manga_curta,RIO,2018-05-20,75570
camiseta_manga_curta,RIO,2019-09-01,103185
camiseta_manga_curta,RIO,2020-08-23,100440
camiseta_manga_curta,RIO,2022-12-18,309890
camiseta_manga_curta,URU,2020-12-27,17205
camiseta_manga_curta,URU,2020-09-13,9800
camiseta_manga_curta,URU,2021-04-18,7120
camiseta_manga_curta,RIO,2020-04-26,2145
camiseta_manga_curta,URU,2019-06-02,6405
camiseta_manga_curta,URU,2018-09-30,4785
camiseta_manga_curta,URU,2019-04-21,6300
camiseta_manga_curta,W,2019-12-08,33245
camiseta_manga_curta,W,2017-11-26,26895
camiseta_manga_curta,W,2021-01-03,58535
camiseta_manga_curta,W,2019-05-05,8745
camiseta_manga_curta,W,2019-12-01,48685
camiseta_manga_curta,W,2017-12-10,12165
camiseta_manga_curta,W,2018-10-28,10505
camiseta_manga_curta,W,2019-03-03,8175
camiseta_manga_curta,W,2019-01-13,15655
camiseta_manga_curta,W,2020-03-15,7335
camiseta_manga_curta,W,2018-05-13,10450
camiseta_manga_curta,W,2022-12-11,57610
camiseta_manga_curta,W,2022-07-31,26905
camiseta_manga_curta,W,2017-10-08,5830
camiseta_manga_curta,URU,2017-12-31,8350
camiseta_manga_curta,URU,2017-10-08,1770
camiseta_manga_curta,ARG,2022-08-28,1270
camiseta_manga_curta,ARG,2020-11-08,3945
camiseta_manga_curta,SPO,2020-07-12,58685
camiseta_manga_curta,SPO,2022-11-20,80704
camiseta_manga_curta,SPO,2020-07-05,56125
camiseta_manga_curta,SPO,2021-06-27,76175
camiseta_manga_curta,SPO,2019-03-31,123005
camiseta_manga_curta,SPO,2022-03-20,82900
camiseta_manga_curta,SPO,2022-01-02,97770
camiseta_manga_curta,SPO,2017-01-08,94360
camiseta_manga_curta,SPO,2018-01-14,102470
camiseta_manga_curta,NOR,2021-08-15,69340
camiseta_manga_curta,NOR,2019-04-28,77075
camiseta_manga_curta,NOR,2022-10-30,49340
camiseta_manga_curta,NOR,2019-03-17,58670
camiseta_manga_curta,NOR,2019-09-15,62920
camiseta_manga_curta,NOR,2020-08-30,105815
camiseta_manga_curta,NOR,2018-05-06,81410
camiseta_manga_curta,NOR,2021-08-29,84245
camiseta_manga_curta,SUL,2017-02-05,53921
camiseta_manga_curta,SUL,2022-07-17,28812
camiseta_manga_curta,SUL,2021-10-17,40983
camiseta_manga_curta,SUL,2021-05-23,15050
camiseta_manga_curta,SUL,2019-03-31,43992
camiseta_manga_curta,RIO,2022-11-06,70112
camiseta_manga_curta,RIO,2020-10-18,94367
camiseta_manga_curta,RIO,2017-12-31,122432
camiseta_manga_curta,RIO,2017-04-23,87554
camiseta_manga_curta,RIO,2021-07-18,108675
camiseta_manga_curta,RIO,2021-12-12,300176
camiseta_manga_curta,RIO,2020-07-26,82978
camiseta_manga_curta,RIO,2018-04-22,96380
camiseta_manga_curta,RIO,2018-12-30,214206
camiseta_manga_curta,RIO,2019-07-07,114728
camiseta_manga_curta,RIO,2019-03-31,112313
camiseta_manga_curta,RIO,2022-08-14,71270
camiseta_manga_curta,RIO,2021-01-03,120512
camiseta_manga_curta,RIO,2021-10-24,93710
camiseta_manga_curta,URU,2021-03-28,6930
camiseta_manga_curta,URU,2020-02-23,8455
camiseta_manga_curta,URU,2021-05-09,5565
camiseta_manga_curta,URU,2019-12-29,17155
camiseta_manga_curta,URU,2019-08-25,5850
camiseta_manga_curta,URU,2019-01-27,3255
camiseta_manga_curta,URU,2019-01-13,2145
camiseta_manga_curta,W,2022-07-24,19170
camiseta_manga_curta,W,2021-06-20,11560
camiseta_manga_curta,W,2017-10-22,7110
camiseta_manga_curta,W,2017-10-15,5995
camiseta_manga_curta,W,2019-10-20,14220
camiseta_manga_curta,W,2017-04-30,3390
