item,cluster_clima,data_semana_comercial,venda
circular_manga_curta,SPO,2022-03-06,61155
circular_manga_curta,SPO,2020-02-23,95210
circular_manga_curta,SPO,2021-01-31,65110
circular_manga_curta,SPO,2018-11-25,137025
circular_manga_curta,SPO,2018-06-03,45325
circular_manga_curta,SPO,2019-09-22,92490
circular_manga_curta,SPO,2018-10-21,86675
circular_manga_curta,SPO,2019-06-16,64635
circular_manga_curta,SPO,2021-06-13,38780
circular_manga_curta,SPO,2018-03-25,61650
circular_manga_curta,SPO,2018-04-29,60155
circular_manga_curta,SPO,2021-09-12,79845
circular_manga_curta,SPO,2019-03-03,123090
circular_manga_curta,NOR,2017-12-24,113595
circular_manga_curta,NOR,2020-07-05,52320
circular_manga_curta,NOR,2019-12-15,148755
circular_manga_curta,NOR,2018-08-12,50600
circular_manga_curta,NOR,2017-06-25,45340
circular_manga_curta,NOR,2019-02-17,58755
circular_manga_curta,NOR,2019-06-30,62305
circular_manga_curta,NOR,2019-07-07,69240
circular_manga_curta,NOR,2018-01-21,51400
circular_manga_curta,NOR,2022-05-15,45675
circular_manga_curta,NOR,2019-09-08,78980
circular_manga_curta,SUL,2017-03-05,31521
circular_manga_curta,SUL,2019-12-15,128582
circular_manga_curta,SUL,2018-03-18,22937
circular_manga_curta,SUL,2018-12-30,48855
circular_manga_curta,SUL,2022-05-01,9739
circular_manga_curta,SUL,2021-09-19,35311
circular_manga_curta,SUL,2022-07-24,25865
circular_manga_curta,SUL,2019-02-17,38917
circular_manga_curta,SUL,2020-06-28,4181
circular_manga_curta,SUL,2019-05-12,20691
circular_manga_curta,SUL,2017-04-09,33803
circular_manga_curta,SUL,2019-04-07,32001
circular_manga_curta,SUL,2022-04-10,14246
circular_manga_curta,SUL,2019-11-17,54382
circular_manga_curta,SUL,2020-01-26,38634
circular_manga_curta,SUL,2022-08-14,14034
circular_manga_curta,RIO,2018-09-23,84371
circular_manga_curta,RIO,2019-11-03,95118
circular_manga_curta,RIO,2022-04-24,47709
circular_manga_curta,RIO,2018-09-09,83306
circular_manga_curta,RIO,2022-11-13,54874
circular_manga_curta,RIO,2019-06-23,59520
circular_manga_curta,RIO,2020-12-20,227635
circular_manga_curta,URU,2021-01-03,15040
circular_manga_curta,URU,2020-09-13,8000
circular_manga_curta,URU,2018-10-21,2555
circular_manga_curta,URU,2019-08-18,5265
circular_manga_curta,URU,2019-11-17,4895
circular_manga_curta,URU,2018-05-13,1425
circular_manga_curta,URU,2018-12-16,13245
circular_manga_curta,URU,2019-04-21,3080
circular_manga_curta,W,2017-08-20,7955
circular_manga_curta,W,2019-06-16,10825
circular_manga_curta,W,2018-09-02,11245
circular_manga_curta,W,2018-11-18,30675
circular_manga_curta,W,2022-06-19,42080
circular_manga_curta,W,2017-08-27,6590
circular_manga_curta,W,2020-11-22,30510
circular_manga_curta,W,2019-04-07,14540
circular_manga_curta,W,2021-10-31,18180
circular_manga_curta,W,2017-12-31,8995
circular_manga_curta,W,2022-08-14,22330
circular_manga_curta,W,2017-03-05,8195
circular_manga_curta,W,2020-03-15,7470
circular_manga_curta,W,2017-03-12,7875
circular_manga_curta,URU,2017-10-29,1305
circular_manga_curta,ARG,2022-12-25,70
circular_manga_curta,ARG,2022-06-12,545
circular_manga_curta,ARG,2022-08-21,690
circular_manga_curta,ARG,2020-10-04,1575
circular_manga_curta,ARG,2021-03-07,715
circular_manga_curta,ARG,2021-05-23,85
circular_manga_curta,SPO,2017-06-18,42180
circular_manga_curta,SPO,2022-08-14,33767
circular_manga_curta,SPO,2018-04-01,61160
circular_manga_curta,SPO,2022-01-09,72985
circular_manga_curta,SPO,2017-11-19,157050
circular_manga_curta,SPO,2018-09-09,88590
circular_manga_curta,SPO,2019-12-01,175050
circular_manga_curta,SPO,2018-06-10,50825
circular_manga_curta,SPO,2019-11-24,140370
circular_manga_curta,SPO,2020-10-04,121240
circular_manga_curta,SPO,2018-05-27,41360
circular_manga_curta,NOR,2018-11-18,116565
circular_manga_curta,NOR,2020-07-26,73595
circular_manga_curta,NOR,2021-02-21,48625
circular_manga_curta,NOR,2018-01-07,58320
circular_manga_curta,NOR,2017-09-10,49945
circular_manga_curta,NOR,2018-06-17,50375
circular_manga_curta,NOR,2020-09-27,69290
circular_manga_curta,NOR,2021-03-28,29440
circular_manga_curta,SUL,2019-09-01,44835
circular_manga_curta,SUL,2022-12-04,48987
circular_manga_curta,SUL,2022-01-16,25902
circular_manga_curta,SUL,2019-01-06,53879
circular_manga_curta,SUL,2021-08-15,26991
circular_manga_curta,SUL,2019-10-06,75704
circular_manga_curta,SUL,2020-08-16,21489
circular_manga_curta,SUL,2019-09-29,58278
