item,cluster_clima,data_semana_comercial,venda
cueca,SPO,2021-12-19,145130
cueca,SPO,2022-06-05,56935
cueca,SPO,2022-09-18,40490
cueca,SPO,2022-04-17,42880
cueca,SPO,2018-07-01,63345
cueca,SPO,2018-08-19,56760
cueca,SPO,2022-12-04,78150
cueca,SPO,2017-03-05,59675
cueca,NOR,2019-04-28,34040
cueca,NOR,2017-03-12,27920
cueca,NOR,2022-10-09,29145
cueca,NOR,2017-10-22,33980
cueca,NOR,2019-09-08,38710
cueca,NOR,2021-12-26,93185
cueca,NOR,2022-11-27,31765
cueca,NOR,2018-12-09,68850
cueca,NOR,2022-10-16,24035
cueca,NOR,2022-03-13,26985
cueca,NOR,2021-04-25,35805
cueca,SUL,2018-08-05,61664
cueca,SUL,2019-04-14,36654
cueca,SUL,2019-07-14,34246
cueca,SUL,2022-03-06,24820
cueca,SUL,2022-06-19,21089
cueca,SUL,2021-05-23,29120
cueca,SUL,2020-10-04,34806
cueca,RIO,2021-07-25,41490
cueca,RIO,2022-02-20,41280
cueca,RIO,2021-06-27,47710
cueca,RIO,2018-12-09,110845
cueca,RIO,2020-07-12,37030
cueca,URU,2021-08-08,2930
cueca,URU,2020-02-23,2125
cueca,URU,2019-05-12,1025
cueca,URU,2019-09-15,1130
cueca,URU,2018-09-23,1110
cueca,W,2021-11-07,7115
cueca,W,2019-06-30,3115
cueca,W,2022-01-30,32430
cueca,ARG,2022-01-09,525
cueca,ARG,2021-12-19,1435
cueca,ARG,2021-03-21,915
cueca,ARG,2020-09-27,375
cueca,SPO,2017-01-29,59215
cueca,SPO,2021-11-28,61500
cueca,SPO,2019-09-08,64710
cueca,SPO,2020-06-07,37765
cueca,SPO,2017-09-24,60465
cueca,SPO,2019-12-15,201475
cueca,SPO,2021-04-04,18145
cueca,SPO,2020-07-19,29545
cueca,SPO,2019-12-29,117290
cueca,SPO,2018-02-11,60815
cueca,SPO,2017-12-10,150075
cueca,SPO,2017-08-13,66240
cueca,NOR,2021-12-12,56205
cueca,NOR,2021-08-01,52600
cueca,NOR,2021-01-10,44990
cueca,NOR,2019-09-15,35075
cueca,NOR,2019-02-10,37965
cueca,NOR,2018-10-21,31985
cueca,NOR,2021-09-05,26255
cueca,SUL,2017-04-23,30699
cueca,SUL,2019-08-18,30442
cueca,SUL,2021-12-19,92120
cueca,RIO,2021-09-19,37105
cueca,RIO,2017-11-05,66040
cueca,RIO,2017-10-08,72395
cueca,RIO,2017-12-10,126810
cueca,RIO,2022-09-04,44190
cueca,RIO,2022-04-10,46690
cueca,URU,2020-01-12,2875
cueca,URU,2020-10-04,1970
cueca,URU,2022-02-27,3385
cueca,URU,2018-05-20,1920
cueca,URU,2018-06-03,1970
cueca,W,2017-01-08,815
cueca,W,2018-01-14,5200
cueca,W,2019-07-21,2535
cueca,W,2018-09-02,1730
cueca,W,2018-10-14,1830
cueca,W,2022-04-10,5780
cueca,W,2017-02-05,1090
cueca,W,2019-10-06,3820
cueca,W,2020-06-14,38070
cueca,W,2021-03-14,13220
cueca,W,2022-06-19,3980
cueca,W,2021-10-17,4050
cueca,W,2020-02-02,2280
cueca,W,2017-11-19,6065
cueca,W,2021-06-06,7330
cueca,W,2017-08-06,2945
cueca,W,2019-08-04,2385
cueca,W,2018-12-30,1705
cueca,W,2018-05-06,1340
cueca,ARG,2022-03-27,665
cueca,ARG,2020-12-06,545
cueca,ARG,2022-09-04,410
cueca,ARG,2021-10-31,735
cueca,ARG,2022-05-22,100
cueca,ARG,2020-03-01,310
cueca,ARG,2022-02-13,340
cueca,ARG,2020-06-21,20
cueca,SPO,2019-11-17,71515
cueca,SPO,2018-09-09,59820
cueca,SPO,2018-12-30,92195
cueca,SPO,2017-11-19,99815
cueca,SPO,2018-03-04,67395
cueca,SPO,2017-03-26,48790
cueca,SPO,2021-04-11,19245
cueca,SPO,2017-02-12,53170
cueca,SPO,2017-09-17,60915
cueca,SPO,2017-11-05,73500
cueca,SPO,2021-01-24,47020
cueca,NOR,2017-05-07,35370
cueca,NOR,2022-12-25,74915
cueca,NOR,2020-08-30,43395
cueca,NOR,2017-05-28,34010
cueca,SUL,2017-11-05,44271
cueca,SUL,2018-10-21,31106
cueca,SUL,2022-01-09,21899
cueca,SUL,2021-09-05,25460
cueca,SUL,2017-02-19,39556
cueca,SUL,2020-06-28,8384
cueca,SUL,2022-02-06,25564
cueca,SUL,2017-08-27,34086
cueca,SUL,2017-09-24,37255
cueca,SUL,2022-05-29,26511
cueca,SUL,2019-09-22,32741
cueca,RIO,2021-04-18,55740
cueca,RIO,2019-11-03,70940
cueca,RIO,2020-03-01,64300
cueca,RIO,2020-10-11,60110
cueca,RIO,2022-11-27,49497
cueca,RIO,2018-09-02,62190
cueca,RIO,2017-04-23,49620
cueca,RIO,2018-04-29,48330
cueca,RIO,2022-11-06,45370
